,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
458,Phase 1,advanced blend loops,11/9/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.016169878,841062.214,1.00484066,TCC
543,Phase 1,transition loops (Phase 1),11/9/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.085477252,893.507157,1.17222353,ICC
701,Phase 1,conventional control loop,11/9/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Between_Batch,0.280543095,5475.54814,1.04876461,ICC
122,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_20,DWDS_F,NA,0.676643212,14515.393,1.04464902,TCC
724,Phase 1,transition loops (Phase 1),11/9/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.252674061,6944.21832,1.03065194,ICC
729,Phase 1,advanced blend loops,11/9/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.044888866,7423.08798,1.06245714,ICC
768,Phase 1,advanced blend loops,11/9/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.016169878,13599.8735,1.01153175,ICC
897,Phase 1,advanced feedwater,11/9/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Between_Batch,0.954846483,172289.105,1.08038368,ICC
128,NA,"full-scale
distribution system
",2/14/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.341117661,16345.738,1.11388937,TCC
90,Phase 1,transition loops (Phase 1),11/13/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.24400252,6618.99931,1.07487284,TCC
132,Phase 1,conventional control loop,11/13/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.514224045,16893.0438,1.03385578,TCC
178,Phase 1,transition loops (Phase 1),11/13/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.454264654,28019.9364,1.0480939,TCC
241,Phase 1,conventional feedwater,11/13/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.449464626,60520.3372,1.0124331,TCC
286,Phase 1,advanced blend loops,11/13/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.041434434,97578.354,1.01713969,TCC
136,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_16,DWDS_F,NA,0.834209216,17218.9553,1.03512784,TCC
427,Phase 1,advanced feedwater,11/13/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.886813341,446740.991,1.01448881,TCC
433,Phase 1,advanced blend loops,11/13/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.006069892,487089.314,1.00994161,TCC
141,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_8,DWDS_F,NA,0.274712365,18754.7865,1.03899111,TCC
586,Phase 1,transition loops (Phase 1),11/13/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.24400252,1615.05251,1.02488253,ICC
646,Phase 1,advanced blend loops,11/13/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.006069892,2956.57947,1.09562096,ICC
678,Phase 1,advanced blend loops,11/13/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.041434434,4043.10385,1.04391832,ICC
